gene_id	gene_name	logCPM	logFC	PValue	FDR	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000059804	SLC2A3	6.5954834716338855	2.0255918579636827	7.552597158042755e-8	6.11680868778747e-5	protein_coding	6515	1433.6363636363637	46.56309448319594	7.121903679172135	15370	TRUE
ENSG00000131791	PRKAB2	4.721799314684347	1.5627704082498737	7.994159777923504e-8	6.150706533134344e-5	protein_coding	5565	2174	42.486967187979175	7.097227175818589	15369	TRUE
ENSG00000109906	ZBTB16	3.86722679629789	4.157831274330208	9.355527492855658e-8	6.855374145717279e-5	protein_coding	7704	2141.777777777778	53.8493463374144	7.028931720640934	15368	TRUE
ENSG00000258926	AL355916.2	2.229364330403036	3.3704839621495726	9.988634955718895e-8	6.986596122663744e-5	lncRNA	NA	2737.1428571428573	45.67327766179542	7.000493858291042	15367	TRUE
ENSG00000101417	PXMP4	7.637077439246124	2.306685235987856	1.1663863556794376e-7	7.697625206285067e-5	protein_coding	11264	2552.6666666666665	51.74980412640373	6.933157569348278	15366	TRUE
ENSG00000102781	KATNAL1	5.63327394874376	-1.881168580523837	1.2005654077907565e-7	7.697625206285067e-5	protein_coding	84056	2195.6	40.48096192384768	-6.920614174241867	1	TRUE
ENSG00000229453	SPINK8	1.2150181979107515	3.8628508738443226	1.44732745905056e-7	8.908589975948008e-5	protein_coding	646424	444	39.8648648648649	6.839433198273143	15365	TRUE
ENSG00000083223	TUT7	6.282111558128286	0.98889914425834	1.7546970680197645e-7	9.668923095963418e-5	protein_coding	79670	2960.285714285714	40.32911881092558	6.755797849593143	15364	TRUE
ENSG00000182704	TSKU	8.40799174871723	2.6069805767209795	1.7615970848276766e-7	9.668923095963418e-5	protein_coding	25987	1998	59.81981981981982	6.754093417062322	15363	TRUE
ENSG00000166317	SYNPO2L	6.331518452061544	2.864536356061048	1.832720984645779e-7	9.668923095963418e-5	protein_coding	79933	3181.6666666666665	57.391304347826065	6.7369036474502915	15362	TRUE
ENSG00000111684	LPCAT3	5.175122573529209	1.4954767749415336	1.8557181800057888e-7	9.668923095963418e-5	protein_coding	10162	1062.3076923076924	51.752353367125274	6.731487977557645	15361	TRUE
ENSG00000128512	DOCK4	4.881238652012124	1.2640745023034203	1.8850252981472744e-7	9.668923095963418e-5	protein_coding	9732	3083.3684210526317	44.00518913013792	6.724682816931908	15360	TRUE
ENSG00000144355	DLX1	4.85048681245453	3.9486972331224544	2.2481306409612255e-7	1.0937729384798934e-4	protein_coding	1745	1379.857142857143	54.45698312454705	6.64817845511364	15359	TRUE
ENSG00000163435	ELF3	6.452089783052476	1.369567574674577	2.3269484829775562e-7	1.0937729384798934e-4	protein_coding	1999	1512	56.937830687830704	6.633213231584881	15358	TRUE
ENSG00000127564	PKMYT1	3.8363981049116926	-2.141032287703715	2.3829405054981933e-7	1.0937729384798934e-4	protein_coding	9088	1177.05	66.43727963977742	-6.622886800480394	2	TRUE
ENSG00000173262	SLC2A14	3.6825971590814417	1.9741898655133157	2.416706518606471e-7	1.0937729384798934e-4	protein_coding	144195	1539.952380952381	48.13073997340673	6.6167760864928695	15357	TRUE
ENSG00000131747	TOP2A	6.01844974148651	-2.3046582142958685	2.911097919554375e-7	1.2798849938886492e-4	protein_coding	7153	1626	38.769987699877035	-6.53594318610811	3	TRUE
ENSG00000115884	SDC1	8.00567675704198	1.3180436673842912	3.194133127022498e-7	1.3653144599617278e-4	protein_coding	6382	1629	60.261919377941474	6.49564698703085	15356	TRUE
ENSG00000116133	DHCR24	9.36510637048887	1.6586075992279783	3.518253133948329e-7	1.4632129520323483e-4	protein_coding	1718	2621.3333333333335	55.137334689725336	6.453672916805216	15355	TRUE
ENSG00000183856	IQGAP3	4.198007183698227	-1.7935053364547695	3.978654666527186e-7	1.6111457370663248e-4	protein_coding	128239	3163.5	55.40540540540539	-6.4002637544776855	4	TRUE
ENSG00000172943	PHF8	7.5300148645769305	1.48763663215521	4.284451923914663e-7	1.6904909283384315e-4	protein_coding	23133	1825.8333333333333	51.92149703331812	6.368104726049603	15354	TRUE
ENSG00000147100	SLC16A2	4.629081185149815	-1.170691373582958	4.6150888171077136e-7	1.757251389537816e-4	protein_coding	6567	3302.3333333333335	52.06419703240133	-6.335819936586366	5	TRUE
ENSG00000012660	ELOVL5	9.590083612803213	2.2682680563859052	4.771398430349169e-7	1.757251389537816e-4	protein_coding	60481	1650.2857142857142	42.80644044321328	6.321354316646425	15353	TRUE
ENSG00000123219	CENPK	2.329161078620859	-1.917790669270789	4.796241120391751e-7	1.757251389537816e-4	protein_coding	64105	915.9411764705883	35.6239162545758	-6.319098991831872	6	TRUE
ENSG00000075702	WDR62	4.514096026562951	-1.1986962992649568	5.088735323281105e-7	1.8210571896430148e-4	protein_coding	284403	2913.375	58.45025099755437	-6.29339013718483	7	TRUE
ENSG00000119969	HELLS	4.046279915598566	-1.833186727826921	5.699535244649187e-7	1.9932829169241295e-4	protein_coding	3070	2080.8333333333335	37.601121345614736	-6.244160556417576	8	TRUE
ENSG00000149150	SLC43A1	5.861364137437679	1.3698310007798924	6.52259191048124e-7	2.230436540410785e-4	protein_coding	8501	1103.3	59.69364633372611	6.185579792498558	15352	TRUE
ENSG00000101447	FAM83D	2.6009978631967354	-2.3157654122560465	6.982420007448172e-7	2.335771284230706e-4	protein_coding	81610	2422.5	50.95975232198141	-6.155994030997219	9	TRUE
ENSG00000165905	LARGE2	2.949533416993164	2.9421935345419574	7.250264880754687e-7	2.3737675741500666e-4	protein_coding	120071	1604.7	61.76232317567147	6.139646126649871	15351	TRUE
ENSG00000248329	APELA	2.53079077253571	2.4012206760647365	7.495616750676424e-7	2.3782647416010689e-4	protein_coding	100506013	994.4	37.85197103781175	6.125192626939041	15350	TRUE
ENSG00000163659	TIPARP	6.103039298139446	1.420052585805304	7.573107118433349e-7	2.3782647416010689e-4	protein_coding	25976	2911.1428571428573	41.35832760820492	6.120725900218105	15349	TRUE
ENSG00000126787	DLGAP5	3.5312528126921943	-2.3788167390079686	8.580251675858372e-7	2.594454908152622e-4	protein_coding	9787	1621.4	38.04119896385839	-6.066499973242962	10	TRUE
ENSG00000165156	ZHX1	6.278324244664987	0.9518980664805345	8.598726300739778e-7	2.594454908152622e-4	protein_coding	11244	2184.25	39.7905459539888	6.065565874515405	15348	TRUE
ENSG00000135373	EHF	7.832330051968992	2.205863649630353	8.8229131833314e-7	2.607930323874148e-4	protein_coding	26298	1326	45.010055304172944	6.054387994170708	15347	TRUE
ENSG00000171298	GAA	8.555982252939048	1.5696329934563502	9.158687906841267e-7	2.607930323874148e-4	protein_coding	2548	1400.888888888889	64.74460659898477	6.038166739829367	15346	TRUE
ENSG00000198142	SOWAHC	6.089213258813805	1.3744702414712888	9.293435975416369e-7	2.607930323874148e-4	protein_coding	65124	4627	47.4389453209423	6.031823688667711	15345	TRUE
ENSG00000182795	C1orf116	6.875948481926634	3.519500690694656	9.321300221801282e-7	2.607930323874148e-4	protein_coding	79098	4321.5	52.55119750086778	6.030523503979886	15344	TRUE
ENSG00000091138	SLC26A3	2.8491374652681367	5.205957307836754	9.822136207225214e-7	2.698982713513957e-4	protein_coding	1811	1447.6	40.85382702403978	6.0077940476391385	15343	TRUE
ENSG00000134324	LPIN1	4.673675745535813	1.17961397313306	1.0059493766665935e-6	2.715710352306235e-4	protein_coding	23175	2277.25	48.075529695905146	5.997423874138483	15342	TRUE
ENSG00000122952	ZWINT	4.088835860601561	-1.8851612707082273	1.033848281901365e-6	2.7429064417065877e-4	protein_coding	11130	1315.4444444444443	49.19334403243517	-5.985543189643948	11	TRUE
ENSG00000163993	S100P	7.315784912812594	3.8113245178856867	1.123743437645874e-6	2.8975120496822326e-4	protein_coding	6286	392	51.27551020408161	5.9493328314122245	15341	TRUE
ENSG00000118985	ELL2	5.109628651097335	1.6384437217399839	1.1297811475236157e-6	2.8975120496822326e-4	protein_coding	22936	1209.5	41.7321207110376	5.94700567654143	15340	TRUE
ENSG00000280217	AC126564.1	0.5196788664802637	-3.195155806857025	1.1721022761075736e-6	2.915128174027884e-4	TEC	NA	2013	52.7074018877298	-5.931034490697479	12	TRUE
ENSG00000070526	ST6GALNAC1	5.43308886152206	4.2913060241562775	1.2004721670829503e-6	2.915128174027884e-4	protein_coding	55808	1159.1818181818182	53.47031605364284	5.920647904596887	15339	TRUE
ENSG00000204140	CLPSL1	3.2072046947893593	2.910804837262161	1.2118997621594986e-6	2.915128174027884e-4	protein_coding	340204	433.5	52.710495963091155	5.9165332997582505	15338	TRUE
ENSG00000124743	KLHL31	2.915943795942349	3.590768296730463	1.2124265865465596e-6	2.915128174027884e-4	protein_coding	401265	3840.5	42.832964457752915	5.916344548827126	15337	TRUE
ENSG00000237649	KIFC1	3.91314572935273	-2.2224289757727123	1.2841822624941857e-6	3.034800554201392e-4	protein_coding	3833	1105.75	55.93488582410127	-5.89137333298213	13	TRUE
ENSG00000156234	CXCL13	2.828619949550908	4.225747616892614	1.302518641421619e-6	3.034800554201392e-4	protein_coding	10563	871.5	39.873780837636275	5.885216052436415	15336	TRUE
ENSG00000170017	ALCAM	8.701520624204878	1.8407374259164069	1.3213649410676713e-6	3.034800554201392e-4	protein_coding	214	2267.5555555555557	38.34770678165424	5.878977220233043	15335	TRUE
ENSG00000162882	HAAO	1.9969987753898264	2.82527315548221	1.4879069593145155e-6	3.3670459249899654e-4	protein_coding	23498	1003.8571428571429	60.56638679379537	5.82742422491892	15334	TRUE
ENSG00000137337	MDC1	5.888346308381321	-1.44079945185505	1.5294634707894266e-6	3.382399658641159e-4	protein_coding	9656	1425.5555555555557	53.538581449727204	-5.815460891104297	14	TRUE
ENSG00000068489	PRR11	4.176814421703229	-2.19939369017177	1.5673729139554385e-6	3.382399658641159e-4	protein_coding	55771	1594	44.974208838700676	-5.8048276626219	15	TRUE
ENSG00000102384	CENPI	2.0594697837192566	-2.068979898250219	1.574736787170603e-6	3.382399658641159e-4	protein_coding	2491	1792.6	41.16925136672988	-5.802792026910759	16	TRUE
ENSG00000124713	GNMT	2.7064627115038165	3.629564752577177	1.6339343325640803e-6	3.382399658641159e-4	protein_coding	27232;107080644	1076	59.4795539033457	5.786765401645794	15333	TRUE
ENSG00000091436	MAP3K20	5.98285506973924	-1.0718661120808846	1.6666295768381986e-6	3.382399658641159e-4	protein_coding	51776	2749.875	42.56102550115916	-5.778160915235888	17	TRUE
ENSG00000287262	AC021148.3	3.989764568596949	3.185560724686313	1.6745093473479734e-6	3.382399658641159e-4	lncRNA	NA	2631	45.4960091220068	5.776112423824135	15332	TRUE
ENSG00000155158	TTC39B	6.0472803619270366	1.3047454715602513	1.6823278473800508e-6	3.382399658641159e-4	protein_coding	158219	2847.1111111111113	40.7118326568842	5.774089366187556	15331	TRUE
ENSG00000126217	MCF2L	6.450602734307028	-0.9498413139451974	1.6858405794820343e-6	3.382399658641159e-4	protein_coding	23263	2030.28125	56.851729286275	-5.773183496570563	18	TRUE
ENSG00000117724	CENPF	6.037262106293041	-2.2084938324517833	1.713798970798689e-6	3.382399658641159e-4	protein_coding	1063	2335.5	40.483836437593666	-5.7660401223154665	19	TRUE
ENSG00000143476	DTL	5.061691687700915	-1.9679806908455764	1.7339672661903032e-6	3.382399658641159e-4	protein_coding	51514	2399.8333333333335	42.162650184040544	-5.760959105387553	20	TRUE
ENSG00000019505	SYT13	5.223933295683878	-1.853997865715646	1.7489761635965625e-6	3.382399658641159e-4	protein_coding	57586	2477.3333333333335	50.49784714747041	-5.757216109382973	21	TRUE
ENSG00000148773	MKI67	5.770306760934433	-2.2909183826219786	1.779449783094011e-6	3.382399658641159e-4	protein_coding	4288	5242.4	48.02762093697541	-5.749714263480812	22	TRUE
ENSG00000278540	ACACA	7.539688182295979	1.3100667630692646	1.7804417230954892e-6	3.382399658641159e-4	protein_coding	31	2655.1304347826085	48.570446060129704	5.749472236958701	15330	TRUE
ENSG00000088325	TPX2	5.260621591527529	-1.802378497227977	1.8311899304314386e-6	3.402493412778796e-4	protein_coding	22974	3539	46.67985306583785	-5.737266608477946	23	TRUE
ENSG00000128567	PODXL	5.556709937914911	-1.5404544546063446	1.8352414430766833e-6	3.402493412778796e-4	protein_coding	5420	2182.75	53.63646775856144	-5.7363067921758635	24	TRUE
ENSG00000278484	AC010998.3	0.3540359546778861	2.9307717939664135	1.8906878975761713e-6	3.463560162845491e-4	lncRNA	NA	631	47.068145800317	5.723380155738372	15329	TRUE
ENSG00000145703	IQGAP2	6.312681158381588	2.7476970732267105	1.9203786977927356e-6	3.4765632237217193e-4	protein_coding	10788	1822.7368421052631	40.98521598521598	5.716613120179637	15328	TRUE
ENSG00000076554	TPD52	8.655577598707703	1.4119646286313834	1.9448814159582473e-6	3.479980840554129e-4	protein_coding	7163	1224.4137931034484	40.55987383124931	5.711106873497653	15327	TRUE
ENSG00000013810	TACC3	4.318881584835837	-2.3299335571581294	1.9712563710748293e-6	3.486631383689595e-4	protein_coding	10460	1772.0625	58.34303248333509	-5.705256890026683	25	TRUE
ENSG00000115616	SLC9A2	5.50338585868689	1.427558536091433	2.0069359142330055e-6	3.5094011191156237e-4	protein_coding	6549	2194.3333333333335	43.794622512532264	5.69746649524512	15326	TRUE
ENSG00000197321	SVIL	6.752105070254883	-1.1408599690721903	2.0517923878434386e-6	3.5099629077331223e-4	protein_coding	6840	2538.875	49.88922258874501	-5.687866585751018	26	TRUE
ENSG00000185303	SFTPA2	3.791602458703454	2.2069049031082386	2.065198776414898e-6	3.5099629077331223e-4	protein_coding	729238	916.2	56.86531325038204	5.6850381409347195	15325	TRUE
ENSG00000244468	AC093001.1	2.9617144012743735	3.355070708316837	2.0756864089141808e-6	3.5099629077331223e-4	lncRNA	NA	551	49.3647912885662	5.682838258321349	15324	TRUE
ENSG00000027075	PRKCH	5.385822851141514	1.5189507104406657	2.1440301547324286e-6	3.586123480545936e-4	protein_coding	5583	821.6785714285714	49.06332855217977	5.668769110797457	15323	TRUE
ENSG00000169607	CKAP2L	2.7863944839137433	-2.3668470285403123	2.1931079101042464e-6	3.6287682280305533e-4	protein_coding	150468	1586.3333333333333	40.63878966169365	-5.658939998687353	27	TRUE
ENSG00000188735	TMEM120B	6.5232597959445675	-1.1353030328715932	2.2732797673830722e-6	3.7214073468607144e-4	protein_coding	144404	2516.285714285714	57.07391847394116	-5.643347113349413	28	TRUE
ENSG00000137404	NRM	2.9763607912566474	-1.8103507122919116	2.3647513307443726e-6	3.8303993134204635e-4	protein_coding	11270	1362.4444444444443	58.30207144022182	-5.626214521464677	29	TRUE
ENSG00000049759	NEDD4L	8.034611299895897	1.0532850688782671	2.5123311296316894e-6	4.027057439872129e-4	protein_coding	23327	2835.4918032786886	44.91197641141271	5.5999231203909074	15322	TRUE
ENSG00000117632	STMN1	5.485645289253735	-1.5332137388791296	2.5813423373456965e-6	4.095020194543874e-4	protein_coding	3925	1327.888888888889	45.05899087942431	-5.588154395548691	30	TRUE
ENSG00000100422	CERK	4.456685270324401	1.3666094297759288	2.660023613967206e-6	4.1767799358905476e-4	protein_coding	64781	1800.75	54.13022351797864	5.575114507966627	15321	TRUE
ENSG00000167900	TK1	4.875656216232827	-1.715031608943467	2.7632340660912913e-6	4.254335154501511e-4	protein_coding	7083	949.8333333333334	61.344095455343044	-5.55858232561323	31	TRUE
ENSG00000127954	STEAP4	5.0458515331738285	1.888287597716526	2.766519228672477e-6	4.254335154501511e-4	protein_coding	79689	4880.333333333333	39.40987637456462	5.558066306878591	15320	TRUE
ENSG00000146776	ATXN7L1	4.7225773832429025	1.1767170152043065	2.792356710453942e-6	4.254335154501511e-4	protein_coding	222255	1876.7272727272727	50.6539430342957	5.554029103424815	15319	TRUE
ENSG00000104738	MCM4	6.4000713044786535	-1.1508451807668343	2.988868125295762e-6	4.509088501181489e-4	protein_coding	4173	1509.7083333333333	49.22860375900423	-5.524493246459488	32	TRUE
ENSG00000261578	AP003119.3	4.420199942659136	2.58988966417172	3.1194460101113234e-6	4.574046465654419e-4	lncRNA	NA	4192	47.280534351145	5.505922526531018	15318	TRUE
ENSG00000102575	ACP5	7.462485867579699	1.3849142020872511	3.120362458892283e-6	4.574046465654419e-4	protein_coding	54	794.5384615384615	60.86746054797173	5.505794955739908	15317	TRUE
ENSG00000137310	TCF19	3.6952813262801363	-1.8209145349419744	3.1211000707935662e-6	4.574046465654419e-4	protein_coding	6941	1991.75	53.97263712815362	-5.505692306471895	33	TRUE
ENSG00000187951	AC091057.1	2.1434490258944026	-1.983545767691454	3.1665898084137876e-6	4.595755740889222e-4	lncRNA	100288637	3144.5	46.36667196692638	-5.499408190331929	34	TRUE
ENSG00000163701	IL17RE	5.040557769644284	1.1845721195970738	3.2468561547356254e-6	4.595755740889222e-4	protein_coding	132014	1621.8181818181818	59.92713004484305	5.488536951468971	15316	TRUE
ENSG00000138180	CEP55	3.750128443683332	-2.4597695844643526	3.250332347724556e-6	4.595755740889222e-4	protein_coding	55165	1371.6666666666667	40.947752126366915	-5.488072229973941	35	TRUE
ENSG00000166508	MCM7	6.337844134250725	-1.352040513649441	3.255376759532917e-6	4.595755740889222e-4	protein_coding	4176	1663	56.108053101438536	-5.487398741314752	36	TRUE
ENSG00000109929	SC5D	5.583681786758756	1.2302710940256645	3.3005479909976166e-6	4.6171665895883025e-4	protein_coding	6309	1945.6666666666667	37.06241790874308	5.481413948089212	15315	TRUE
ENSG00000123485	HJURP	2.777788519088143	-2.4723882256924146	3.4162327925650315e-6	4.6852395049991476e-4	protein_coding	55355	1556.5555555555557	48.69012777500178	-5.466452542818603	37	TRUE
ENSG00000118707	TGIF2	5.622974210601359	-1.4311758505768317	3.438487998880633e-6	4.6852395049991476e-4	protein_coding	60436	1699.4444444444443	53.285387381497216	-5.463632487107625	38	TRUE
ENSG00000076382	SPAG5	4.585669844249169	-2.1566993522560916	3.440551495092953e-6	4.6852395049991476e-4	protein_coding	10615	947.125	49.54467467335356	-5.463371937638152	39	TRUE
ENSG00000157483	MYO1E	5.826393507964943	1.4465885723741374	3.5057235645889485e-6	4.708574988616821e-4	protein_coding	4643	1453.3	48.16624234500792	5.455222332140341	15314	TRUE
ENSG00000168234	TTC39C	6.351601161696516	1.090288574362734	3.5188856491482606e-6	4.708574988616821e-4	protein_coding	125488	1558.8	43.231973312804705	5.453594845910139	15313	TRUE
ENSG00000189337	KAZN	3.771482063788553	-1.2314875857545913	3.5726887182194773e-6	4.7393563789621825e-4	protein_coding	23254	3418.1111111111113	56.91577544452752	-5.447004821426658	40	TRUE
ENSG00000182841	RRP7BP	3.934952619014401	2.2912507762426753	3.6426626236448173e-6	4.7908796968073886e-4	transcribed_unprocessed_pseudogene	91695	1609.4	57.710948179445786	5.438581050409032	15312	TRUE
ENSG00000011426	ANLN	5.441569751610616	-1.6217751018869175	3.736183073507244e-6	4.872236028400802e-4	protein_coding	54443	1373.1538461538462	40.30586521763488	-5.427571851428561	41	TRUE
ENSG00000163702	IL17RC	5.338777374019736	0.9921374489425137	3.830666553854346e-6	4.953470330311822e-4	protein_coding	84818	1487.5333333333333	62.91175547886882	5.416725650189633	15311	TRUE
ENSG00000167513	CDT1	2.876605802185042	-1.583469579124298	4.045042217370374e-6	5.187092470074609e-4	protein_coding	81620	1323.3333333333333	64.86146095717886	-5.3930769413754875	42	TRUE
ENSG00000110092	CCND1	9.460657856760452	-1.2804147542308686	4.1557805056241515e-6	5.215122169906342e-4	protein_coding	595	1197.5	56.0055671537926	-5.381347398485787	43	TRUE
ENSG00000287448	AC018558.7	3.8947454175331475	3.8043642712558925	4.2038619114933655e-6	5.215122169906342e-4	lncRNA	NA	1086	50.3683241252302	5.3763515581198655	15310	TRUE
ENSG00000134046	MBD2	8.219022942990932	1.1966900121925266	4.227080705474526e-6	5.215122169906342e-4	protein_coding	8932	1685	49.51928783382791	5.373959460330989	15309	TRUE
ENSG00000161896	IP6K3	3.381004005293415	2.7750849590582503	4.227136175766662e-6	5.215122169906342e-4	protein_coding	117283	1725.3333333333333	55.15842349304482	5.3739537612953185	15308	TRUE
ENSG00000099769	IGFALS	2.148476054810906	-2.4104636416585516	4.236354765000603e-6	5.215122169906342e-4	protein_coding	3483	1641.3333333333333	68.41998375304628	-5.3730076779246305	44	TRUE
ENSG00000132688	NES	4.1509577035310805	-1.2288995458830396	4.272134283772519e-6	5.217428758626311e-4	protein_coding	10763	5568	59.3031609195402	-5.369355104812634	45	TRUE
ENSG00000162641	AKNAD1	1.3190265332385853	1.958218366795689	4.3863983267871224e-6	5.291069797472037e-4	protein_coding	254268	1865.4	42.8487187734534	5.357891932788276	15307	TRUE
ENSG00000131069	ACSS2	5.847415160161257	0.9914064604710691	4.401201807099173e-6	5.291069797472037e-4	protein_coding	55902	1000.6666666666666	52.96052631578947	5.3564287173947465	15306	TRUE
ENSG00000138772	ANXA3	4.392984083651483	-1.1280357819826279	4.461598517176254e-6	5.322099068395985e-4	protein_coding	306	1092.5	43.34096109839814	-5.35050951285536	46	TRUE
ENSG00000155926	SLA	3.8239175893410473	2.813801637122877	4.496801556756538e-6	5.322829411951508e-4	protein_coding	6503	989.9565217391304	51.780930212130535	5.347096277365836	15305	TRUE
ENSG00000176387	HSD11B2	4.762455460994984	2.310731754708945	4.635907017079617e-6	5.431244866795844e-4	protein_coding	3291	912	62.66447368421054	5.3338652833154745	15304	TRUE
ENSG00000229644	NAMPTP1	4.846393228553217	1.3554708528068191	4.730802256856409e-6	5.431244866795844e-4	processed_pseudogene	NA	2514	34.6857597454256	5.325065204678321	15303	TRUE
ENSG00000115756	HPCAL1	5.866241631085423	0.9534167292259438	4.7482855585055155e-6	5.431244866795844e-4	protein_coding	3241	1828.75	60.328092959671885	5.323463170771785	15302	TRUE
ENSG00000004478	FKBP4	8.7797079258046	-1.2696477655825582	4.761087741778833e-6	5.431244866795844e-4	protein_coding	2288	878.625	52.66752027315411	-5.322293814866751	47	TRUE
ENSG00000157600	TMEM164	9.327941071322657	1.150623145832802	4.764869099411482e-6	5.431244866795844e-4	protein_coding	84187	2961.25	52.52427184466023	5.3219490258093165	15301	TRUE
ENSG00000177675	CD163L1	2.093327941860893	1.7385082297240102	4.808867158985992e-6	5.441091753123268e-4	protein_coding	283316	1338.9	47.94980954514901	5.317957219789615	15300	TRUE
ENSG00000203685	STUM	5.3828597558446205	-3.6386141321409053	5.017623371665788e-6	5.549405672973005e-4	protein_coding	375057	4041.6666666666665	55.58762886597939	-5.299501940419955	48	TRUE
ENSG00000171848	RRM2	3.749593328894226	-1.4152767505963908	5.021129498928554e-6	5.549405672973005e-4	protein_coding	6241	1504.6842105263158	46.78372800727552	-5.299198577680656	49	TRUE
ENSG00000105835	NAMPT	6.677472353779331	1.3706329839187723	5.025692058825912e-6	5.549405672973005e-4	protein_coding	10135	1131.076923076923	39.247823721436326	5.298804125622041	15299	TRUE
ENSG00000197070	ARRDC1	7.794601733062794	1.5258289922492574	5.078032114574002e-6	5.549405672973005e-4	protein_coding	92714	1000.5833333333334	63.00491380028318	5.2943045568813245	15298	TRUE
ENSG00000158747	NBL1	3.862243025862085	2.8740284468173254	5.132335139718769e-6	5.549405672973005e-4	protein_coding	4681;100532736	1300.7857142857142	62.22063587941354	5.2896849920909	15297	TRUE
ENSG00000131873	CHSY1	5.935908757506641	-0.827532559150424	5.159088996604328e-6	5.549405672973005e-4	protein_coding	22856	1485	48.23793490460159	-5.287426980287034	50	TRUE
ENSG00000166920	C15orf48	5.406779063731248	-2.2849270665328523	5.1614221726188505e-6	5.549405672973005e-4	protein_coding	84419	663.5	44.61190655614165	-5.287230616857149	51	TRUE
ENSG00000143502	SUSD4	3.105393914800231	-2.421973490832844	5.193101227632653e-6	5.549405672973005e-4	protein_coding	55061	1702	51.34547591069331	-5.284573211744671	52	TRUE
ENSG00000109321	AREG	8.092575906739336	-3.1438444277675544	5.30601869856615e-6	5.620053636650559e-4	protein_coding	374	984.3333333333334	41.923467660006764	-5.275231223884449	53	TRUE
ENSG00000158201	ABHD3	4.388336478597736	1.3137668000516152	5.332257804464399e-6	5.620053636650559e-4	protein_coding	171586	1199.7	42.9940818537968	5.273088861443164	15296	TRUE
